Week,DPR no.,Report Date,Medium,Source ID ,Source title ,Source type,Content provider,No. of Correction,Pub year,Volume ,Issue,Article/Iss,Article title,Type of request,Correction Field,Correction Type,Missing/Error,CAR Supplier
Week-4,180120-001532,20-Jan-18,Journal,295802099,International Journal of Applied Engineering Research,J,Research India Publications,-,2017,12,18,Article,Corporate Image of Bus Rapid Transit Antecedent Customer Repurchase Intention,MC,Single Article missing,Missing content,-,Spi
Week-4,180120-001438,20-Jan-18,Journal,661922422,International Journal of Engineering and Technology(UAE),J,Science Publishing Corporation Inc,-,2018,7,1.5SpecialIssue,Issue,-,MC,Whole issue missing,Missing content,-,Thomson Digital
Week-4,180120-002720,20-Jan-18,Journal,642412713,Environmental Processes,J,E-Flow Springer,-,2017,4,1,Article,An Enhanced Effective Reconnaissance Drought Index for the Characterisation of Agricultural Drought,MC,Single Article missing,Missing content,-,Spi
Week-4,180120-002605,20-Jan-18,Journal,76916699,Archivio Italiano di Urologia e Andrologia,J,E-flow PDF Edizioni Scripta Manent,-,2017,89,4,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-4,180120-000047,20-Jan-18,Journal,295802099,International Journal of Applied Engineering Research,J,Research India Publications,-,2017,12,20,Article,Stress Analysis of Four-Bar Linkage Transfemoral Prosthetic in Gait Cycle,MC,Single Article missing,Missing content,-,Spi
Week-4,180120-001898,20-Jan-18,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2018,118,-,Article,Acceptance of technology by senior citizens,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180120-001864,20-Jan-18,Journal,79153699,International Journal of Applied Business and Economic Research,J,Serials Publications,-,2017,15,15,Article,Enhancing Banking Performance Byreducing Risk: A Preliminary Study on the Productive Credit-Based Loan Portfolio,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180120-001925,20-Jan-18,Journal,290219199,Journal of Advanced Research in Dynamical and Control Systems,J,"Institute of Advanced Scientific Research, Inc.",-,2017,9,8,Article,An Empirical Analysis on Policing Impacts-Is Cop’s Facing Difficulty in Balancing Their Work and Life,MC,Single Article missing,Missing content,-,Spi
Week-4,180122-004088,22-Jan-18,Journal,76251299,Acta Biomedica,J,Mattioli 1885,-,2017,88,4,Article,Laparoscopic gastric bypass with remnant gastrectomy in a super-super obese patient with gastric metaplasia: a surgical hazard?,MC,Single Article missing,Missing content,-,Spi
Week-4,180120-002754,20-Jan-18,Journal,76924699,Journal of Applied Polymer Science,J,E-flow Wiley Blackwell,-,2014,131,23,Article,"Polyamide-Montmorillonite Nanocomposites as a Drug Delivery System: Preparation, Release of 1,3,4-Oxa(thia)diazoles, and Antimicrobial Activity",MC,Single Article missing,Missing content,-,Spi
