Week,DPR no.,Report Date,Medium,Source ID ,Source title ,Source type,Content provider,No. of Correction,Pub year,Volume ,Issue,Article/Iss,Article title,Correction Field,Correction Type,Sub KPI,Precision/Recall,CAR Supplier
Week-17,180422-001642,22-Apr-18,Journal,302530299,Polish Annals of Medicine,J,Warmia and Mazury Medical Chamber,-,2018,25,1,Issue,-,Whole issue missing,Missing content,-,-,Thomson Digital
Week-17,180422-000953,22-Apr-18,Journal,78762699,"Archaeology, Ethnology and Anthropology of Eurasia",J,EBSCO Information Services,-,2018,46,1,Issue,-,Whole issue missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000021,22-Apr-18,Journal,273004599,BMJ Open,J,E-flow BMJ Publishing Group,-,2018,8,4,Article,Protocol of a Multicenter International Randomized Controlled Manikin Study on Different Protocols of Cardiopulmonary Resuscitation for laypeople (MANI-CPR),Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180421-004241,21-Apr-18,Journal,346240699,Journal of Security and Sustainability Issues,J,General Jonas Zemaitis Military Academy of Lithuania,-,2018,7,3,Article,ENERGY SECURITY ISSUES IN CONTEMPORARY EUROPE,Single Article missing,Missing content,-,-,Thomson Digital
Week-17,180421-003702,21-Apr-18,Journal,263716299,International Journal of Endocrinology,J,E-Flow Hindawi Publishing,-,2018,2018,-,Article,"Oxidative Stress, Apoptosis, and Mitochondrial Function in Diabetic Nephropathy",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180423-000288,23-Apr-18,Journal,634575232,Banks and Bank Systems,J,LLC CPC Business Perspectives,-,2018,13,1,Article,Bank-specific vs. macro-economic factors: what drives profitability of commercial banks in Saudi Arabia,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180423-000612,23-Apr-18,Journal,259445699,Nature Communications,J,E-flow Nature Publishing Group,-,2018,9,1,Article,Turning microplastics into nanoplastics through digestive fragmentation by Antarctic krill,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180423-002490,23-Apr-18,Journal,629774014,International Journal of Electrical and Computer Engineering,J,Institute of Advanced Engineering and Science,-,2017,7,5,Article,Optimization of Fuzzy Tsukamoto Membership Function using Genetic Algorithm to Determine the River Water,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180421-004954,21-Apr-18,Journal,658711423,Indonesian Journal of Electrical Engineering and Computer Science,J,Institute of Advanced Engineering and Science,-,2017,7,3,Article,Power Loss Minimization in Radial Distribution Networks Using Reconfiguration and DGs,Single Article missing,Missing content,-,-,Spi
Week-17,180421-004954,21-Apr-18,Journal,658711423,Indonesian Journal of Electrical Engineering and Computer Science,J,Institute of Advanced Engineering and Science,-,2017,7,3,Article,Artificial Neural Network Application for Thermal Image Based Condition Monitoring of Zinc Oxide Surge Arresters,Single Article missing,Missing content,-,-,Spi
Week-17,180421-004954,21-Apr-18,Journal,658711423,Indonesian Journal of Electrical Engineering and Computer Science,J,Institute of Advanced Engineering and Science,-,2017,7,3,Article,An Fundamental Current Reference Control Strategy for DSTATCOM under Various Load Situations,Single Article missing,Missing content,-,-,Spi
Week-17,180421-004954,21-Apr-18,Journal,658711423,Indonesian Journal of Electrical Engineering and Computer Science,J,Institute of Advanced Engineering and Science,-,2017,7,3,Article,Evaluation of Various Maintenance Strategies for Reliability Assessment of Thermal Power Plants,Single Article missing,Missing content,-,-,Spi
Week-17,180421-004954,21-Apr-18,Journal,658711423,Indonesian Journal of Electrical Engineering and Computer Science,J,Institute of Advanced Engineering and Science,-,2017,7,3,Article,Load Disturbance Rejection Based PID Controller for Frequency Regulation of a Microgrid,Single Article missing,Missing content,-,-,Spi
Week-17,180421-004954,21-Apr-18,Journal,658711423,Indonesian Journal of Electrical Engineering and Computer Science,J,Institute of Advanced Engineering and Science,-,2017,7,3,Article,Optimal Energy Harvesting Scheme for Power Beacon-Assisted Wireless-Powered Networks,Single Article missing,Missing content,-,-,Spi
Week-17,180421-004954,21-Apr-18,Journal,658711423,Indonesian Journal of Electrical Engineering and Computer Science,J,Institute of Advanced Engineering and Science,-,2017,7,3,Article,A meaningful Compact Key Frames Extraction in Complex Video Shots,Single Article missing,Missing content,-,-,Spi
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,REQUIREMENTS FOR THE MEASUREMENT OF INVASIVE AND NON-INVASIVE STRESS INDICATORS IN ANIMAL PRODUCTION,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,REVIEW ON PHARMACOLOGICAL ASPECTS TO BE CONSIDERED FOR THE USE OF ANTIBIOTICS IN SHRIMP FARMING,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,"RELATION BETWEEN SOCIABILITY, BLOOD PRESSURE AND HEART RATE IN THE DOMESTIC DOG (CANIS FAMILIARIS)",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,EFFECT OF TRAINING ON AGILITY AT HIGH ALTITUDE IN BORDER COLLIE DOGS ON SOME ELECTROCARDIOGRAPHIC VARIABLES: PRELIMINARY ANALYSIS,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,"GENETIC VARIABILITY OF DOMESTIC PIGEON (Columba livia) POPULATIONS IN SINCELEJO, SUCRE",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,HISTOLOGICAL DESCRIPTION OF THE SKIN OF THE TITICACA WATER FROG (Telmatobius culeus),Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,MORPHOLOGIC STUDY OF THE PANCREAS OF YOUNG AND ADULTS ALPACAS (Vicugna pacos),Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,STUDY OF THE RADIOGRAPHIC OSTEOLOGY OF THE PIPA FROG (Pipa pipa),Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,IMMUNOHISTOCHEMICAL IDENTIFICATION OF SOMATOSTATIN AND PANCREATIC POLYPEPTIDE PRODUCING CELLS IN PANCREAS OF ALPACAS (Vicugna pacos),Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,END-TO-END JEJUNAL ANASTOMOSIS WITH BOVINE PERICARDIUM XENOGRAFT IN EQUINES,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,COMPARISON OF THE FRIEDEWALD FORMULA WITH THE PRECIPITATE METHOD FOR THE DETERMINATION OF LDL CHOLESTEROL LEVELS IN CATTLE,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,DETERMINATION OF LDL CHOLESTEROL LEVELS IN CATTLE COMPARING TWO METHODS,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,"SPINE INJURIES CHARACTERIZATION BY COMPUTED TOMOGRAPHY IN CANINES IN LIMA, PERU",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,FATTY ACIDS PROFILE AND ENERGY CONTENT IN MUSCLE OF JUVENILE OF PERUVIAN ROCK SEA BASS (Paralabrax humeralis) CONDITIONED TO CAPTIVITY,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,TROUT RESIDUES SILAGE IN THE FEEDING OF FATTENING SHEEP,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,"EFFECT OF AZOLLA INCLUSION IN THE DIET OF JAPANESE QUAILS ON VOLUNTARY INTAKE, APPARENT DIGESTIBILITY AND EGG PRODUCTION",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,PERFORMANCE AND BONE INTEGRITY OF BROILERS IN RESPONSE TO DIETARY SUPPLEMENTATION WITH FOUR SOURCES OF COMMERCIAL PHYTASES,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,COWPEA (VIGNA UNGUICULATA L. WALP) AS INGREDIENT IN GROWING-FATTENING RATIONS OF IMPROVED GUINEA PIGS (CAVIA PORCELLUS),Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,COMMERCIAL CULTURE OF SHRIMP Litopenaeus vannamei IN COSTA RICA DURING EL Niño 2015: incidence of diseases,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-17,180422-000375,22-Apr-18,Journal,297615699,Revista de Investigaciones Veterinarias del Peru,J,Universidad Nacional Mayor de San Marcos,-,2018,29,1,Article,ANTIOXIDANT ACTIVITY OF ISOESPINTANOL AND THYMOL IN CRYOPRESERVED STALLION SEMEN,Single Article missing,Missing content,-,-,Innodata Isogen Inc
