Week,DPR no.,Report Date,Medium,Source ID ,Source title ,Source type,Content provider,No. of Correction,Pub year,Volume ,Issue,Article/Iss,Article title,Correction Field,Correction Type,Sub KPI,Precision/Recall,CAR Supplier
Week-5,180127-000072,27-Jan-18,Journal,647842699,IFAC-PapersOnLine,J,E-Flow Elsevier,-,2017,50,1,Article,Fault-Driven Structural Diagnosis Approach in a Distributed Context,Single Article missing,Missing content,-,-,Aptara
Week-5,180127-001198,27-Jan-18,Journal,263719199,Journal of Global Pharma Technology,J,Journal of Global Pharma Technology,-,2017,9,6,Article,"Implementation and Performance Assessment of Compressed
Sensing for Images and Video Signals",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180127-000247,27-Jan-18,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2017,117,1,Article,"NON-RECURSIVE ENUMERATION
OF HETEROCHRONOUS TREES",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180127-003109,27-Jan-18,Journal,76425199,Journal of Antimicrobial Chemotherapy,J,E-flow Oxford University Press,-,2018,73,2,Article,"Evaluation of the KPC K-SeTVR
immunochromatographic assay for the
rapid detection of KPC carbapenemase
producers from positive blood cultures",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180127-001090,27-Jan-18,Journal,78956499,Journal of Biomedical Nanotechnology,J,American Scientific Publishers,-,2017,13,11,Issue,-,Whole issue missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180127-001075,27-Jan-18,Journal,80044799,Journal of Babol University of Medical Sciences,J,Babol University of Medical Sciences,-,2017,19,12,Issue,-,Whole issue missing,Missing content,-,-,Spi
Week-5,180127-001081,27-Jan-18,Journal,79153699,International Journal of Applied Business and Economic Research,J,Serials Publications,-,2017,15,22,Article,Modelling of Volatility and Stylized Facts of Emerging Stock Market: Evidence from India,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180127-001030,27-Jan-18,Journal,79642099,Pesquisa Brasileira em Odontopediatria e Clinica Integrada,J,Association of Support to Oral Health Research (APESB),-,2018,18,1,Issue,-,Whole issue missing,Missing content,-,-,Spi
Week-5,180127-000975,27-Jan-18,Journal,79166199,Iranian Red Crescent Medical Journal,J,Kowsar Medical Publishing Company,-,2014,16,10,Article,Family and the Risky Behaviors of High School Students,Single Article missing,Missing content,-,-,Spi
Week-5,180127-003434,27-Jan-18,Journal,79608899,Energies,J,MDPI AG,-,2017,10,12,Article,"Performance Comparison of Grid-Faulty Control
Schemes for Inverter-Based Industrial Microgrids",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180127-003559,27-Jan-18,Journal,76401199,International Journal of Epidemiology,J,E-flow Oxford University Press,-,2017,46,5,Issue,-,Whole issue missing,Missing content,-,-,Thomson Digital
Week-5,180128-003741,28-Jan-18,Journal,632389509,International Journal of Biology and Biomedical Engineering,J,North Atlantic University Union NAUN,-,2016,10,-,Article,"A Mitochondrial DNA-Based Computational
Model of the Spread of Human Populations",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180128-003729,28-Jan-18,Journal,632389509,International Journal of Biology and Biomedical Engineering,J,North Atlantic University Union NAUN,-,2016,10,-,Article,"Incremental Phylogenetics by Repeated
Insertions: An Evolutionary Tree Algorithm",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180128-003284,28-Jan-18,Journal,645485829,Applied Sciences (Switzerland),J,MDPI AG,-,2018,8,2,Article,"Thermal Pre-Treatment of Sewage Sludge in a
Lab-Scale Fluidized Bed for Enhancing Its Solid
Fuel Properties",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180128-002734,28-Jan-18,Journal,78251999,Journal of Nanobiotechnology,J,E-flow BioMed Central,-,2018,16,1,Article,"Correction to: Entrapment of an EGFR
inhibitor into nanostructured lipid carriers (NLC)
improves its antitumor activity against human
hepatocarcinoma cells",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180128-002703,28-Jan-18,Journal,79594099,Rasayan Journal of Chemistry,J,"Rasayan Journal of Chemistry, c/o Dr. Pratima Sharma",-,2018,11,1,Article,"DEVELOPMENT OF GAS-GENERATOR
CHEMICAL CARTRIDGES WORKING IN THE MODE
OF NON-EXPLOSIVE DESTRUCTIVE MIXTURE",Single Article missing,Missing content,-,-,SPI
Week-5,180128-002259,28-Jan-18,Journal,315961499,Magazine of Civil Engineering,J,St-Petersburg State Polytechnical University,-,2015,60,8,Article,"Thermal characteristics of the external walling
made of cold-formed steel studs and polystyrene concrete",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180128-003864,28-Jan-18,Journal,77727899,International Journal of Phytoremediation,J,E-flow Taylor and Francis,-,2018,20,2,Article,"Biosorption of Basic Blue 7 by fungal cells
immobilized on the green-type biomatrix of
Phragmites australis spongy tissue",Single Article missing,Missing content,-,-,SPI
Week-5,180128-002428,28-Jan-18,Journal,76871899,Endocrine-Related Cancer,J,BioScientifica Ltd,-,2017,24,9,Article,"Acromegaly is associated with
increased cancer risk: a survey in Italy",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180127-001140,27-Jan-18,Journal,290219199,Journal of Advanced Research in Dynamical and Control Systems,J,"Institute of Advanced Scientific Research, Inc.",-,2017,9,-,Article,PLC Controlled Water Pumps for Generator Stator Cooling System,Single Article missing,Missing content,-,-,SPI
Week-5,180128-001709,28-Jan-18,Journal,78488599,Iranian Journal of Public Health,J,Iranian Journal of Public Health,-,2004,33,2,Issue,-,Whole issue missing,Missing content,-,-,SPI
Week-5,180128-002703,28-Jan-18,Journal,79594099,Rasayan Journal of Chemistry,J,"Rasayan Journal of Chemistry, c/o Dr. Pratima Sharma",-,2018,11,1,Article,"PREPARATION OF MECHANICALLY ACTIVATED
MIXTURES OF TITANIUM WITH THE CARBON
NANOTUBES AND STUDY OF THEIR PROPERTIES
UNDER THERMAL EXPLOSION",Single Article missing,Missing content,-,-,SPI
Week-5,180127-001392,27-Jan-18,Journal,263719199,Journal of Global Pharma Technology,J,Journal of Global Pharma Technology,-,2017,9,6,Article,"Effectiveness of Reconstruction Methods in Compressive Sensing
for Biomedical Images",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180127-001029,27-Jan-18,Journal,78347699,Electronic Journal of Differential Equations,J,Texas State University - San Marcos,-,2017,2017,-,Article,"EXISTENCE OF PERIODIC SOLUTIONS FOR SUBQUADRATIC
DISCRETE SYSTEM INVOLVING THE P-LAPLACIAN",Single Article missing,Missing content,-,-,Spi
Week-5,180127-002143,27-Jan-18,Journal,79419699,Asian Pacific Journal of Cancer Prevention,J,Asian Pacific Organization for Cancer Prevention,-,2017,18,4,Article,"Relationship of Social Determinants of Health with the
Three-year Survival Rate of Breast Cancer",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180127-001914,27-Jan-18,Journal,263678299,Italian Journal of Engineering Geology and Environment,J,Sapienza Universita Editrice,-,2017,2017,2,Issue,-,Whole issue missing,Missing content,-,-,Thomson Digital
Week-5,180127-002797,27-Jan-18,Journal,77005899,Journal of Travel Medicine,J,E-flow Oxford University Press,-,2017,24,5,Article,"Atypical hand, foot and mouth disease due to
Coxsackievirus A6 in a traveler returning from
Indonesia to Italy",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180128-001455,28-Jan-18,Journal,298657699,Petroleum and Coal,J,Slovnaft VURUP a.s,-,2017,59,6,Article,"INFLUENCE OF THE COMPOSITION, STRUCTURE, AND PROPERTIES ON THE IGNITION’S TEMPERATURE OF COAL",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180128-001404,28-Jan-18,Journal,78244899,BMC Plant Biology,J,E-flow BioMed Central,-,2017,17,1,Article,"Transcriptomic analysis of Pak Choi under
acute ozone exposure revealed regulatory
mechanism against ozone stress",Single Article missing,Missing content,-,-,Thomson Digital
Week-5,180128-001480,28-Jan-18,Journal,76856499,Gigiena i Sanitariya,J,Izdatel'stvo Meditsina,-,2016,95,9,Article,"PREMISES TO THE TRANSBOUNDARY ENVIRONMENTAL CRISIS IN THE WATER TRACT
ON THE EXAMPLE OF WATER TRACT OF THE KUBAN–MANYCH",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-5,180128-001370,28-Jan-18,Journal,654587224,International Journal of Civil Engineering and Technology,J,IAEME Publication,-,2017,8,10,Article,ABSORPTION HEAT EXCHANGER: ENERGY AND EXERGY ANALYSIS,Single Article missing,Missing content,-,-,Innodata Isogen Inc
